FIRST,LAST,ATHLETE_ID,ATHLETE_NUM,POSITION,GUARD,DATE,TIMEPOINT,TP1,ACTIVITY_TYPE,PRACTICE_LAG,PLAYERLOAD,PL_MIN,TRIMP,IMA_A,IMA_D,IMA_L,IMA_R,EXP_EFF,IMA_JUMP_HIGH,JUMPS_TOTAL,EXP_RATIO,PERC_EXP_EFF,AVG_MINS,MIN_DEV,MINUTE,FG_PERC,FG_MADE,FG_TOTAL,FG_MISSED,X3PT_PERC,X3PT_MADE,X3PT_TOT,FT_PERC,FT_MADE,FT_TOTAL,FT_MISSED,ORB,DRB,REBOUND,FOULS,ASSIST,TURNOVER,BLOCKS,STEALS,POINTS,EFFICIENCY
Zahirah,Walton,ZW7,7,2,0,2/11/24,76,75,1,0,708.86391,5.17564,377.49867,16,9,10,13,60,12,152,0.84642,22.14022,21.44,3.56,25,54.55,6,11,5,50,1,2,100,6,6,0,3,5,8,2,1,2,1,3,19,25
Zahirah,Walton,ZW7,7,2,0,2/16/24,80,79,0,1,211.92852,2.5442,141.6855,2,3,1,5,12,1,33,0.56623,19.67213,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zahirah,Walton,ZW7,7,2,0,2/17/24,81,80,1,0,303.69363,2.95685,167.23417,3.5,4.5,2,4,15,2,117,0.49392,14.70588,21.44,-5.44,16,33.33,1,3,2,0,0,0,50,1,2,1,0,3,3,3,0,1,0,1,3,3
Zahirah,Walton,ZW7,7,2,0,2/19/24,82,81,0,2,249.63014,2.5319,139.84983,5,1,2,1,13,4,60,0.52077,15.29412,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zahirah,Walton,ZW7,7,2,0,2/20/24,83,82,0,1,296.01719,3.42748,137.95433,2,3,1,1,10,3,46,0.33782,12.34568,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zahirah,Walton,ZW7,7,2,0,2/21/24,84,83,1,0,416.70092,4.18705,285.12825,13,5,5,5,35,14,257,0.83993,17.63224,21.44,2.56,24,14.29,1,7,6,0,0,1,100,2,2,0,3,3,6,2,1,3,5,1,4,8
Zahirah,Walton,ZW7,7,2,0,2/23/24,85,84,0,1,469.64179,2.76295,260.9005,6,4,3,9,23,1,81,0.48973,14.02439,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zahirah,Walton,ZW7,7,2,0,2/24/24,86,85,1,0,798.92063,5.54635,511.6575,23,14,12,20,82,13,138,1.02638,25.86751,21.44,10.56,32,37.5,6,16,10,0,0,1,85.71,6,7,1,8,6,14,2,1,0,2,2,18,26
Zahirah,Walton,ZW7,7,2,0,2/26/24,87,86,0,2,238.74238,3.01739,118.69933,2,3,1,6,12,0,49,0.50263,13.63636,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zahirah,Walton,ZW7,7,2,0,2/27/24,88,87,0,1,457.12305,4.47203,210.2395,3,7,3,4,21,4,100,0.45939,12.2093,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zahirah,Walton,ZW7,7,2,0,2/28/24,89,88,1,0,487.27847,2.69944,295.9485,11,5,7.5,6.5,34.5,9,251,0.70801,16.70702,21.44,-1.44,20,50,2,4,2,0,0,1,100,6,6,0,0,0,0,3,0,1,2,0,10,9
